0,1,2,3,4,5,6,7,8,time
64424,2547583488,0,0.0,0.0462,0.2643,0.0092,-0.0722,0.0134,1739364860789.0
64425,2715355648,0,0.0691,0.0231,0.1321,0.0,-0.0812,-0.0067,1739364860799.0015
64426,2883127808,0,0.0,0.0693,0.1321,0.0092,-0.0722,0.0,1739364860809.003
64427,3050899968,0,-0.023,0.0693,0.0,0.0092,-0.0722,0.0,1739364860819.0044
1,3218672128,0,0.023,0.0462,0.1321,0.0,-0.0632,-0.0067,1739364860829.006
2,3386444288,0,0.0,0.0462,0.1321,0.0,-0.0632,0.0,1739364860839.0076
3,3554216448,0,0.023,0.0462,0.1321,0.0,-0.0812,0.0067,1739364860849.009
4,3721988608,0,0.023,0.0462,0.1321,0.0092,-0.0722,0.0,1739364860859.0105
5,3889760768,0,0.0,0.0462,0.1321,0.0,-0.0632,0.0,1739364860869.012
6,4057532928,0,0.023,0.0231,0.1321,0.0092,-0.0541,-0.0134,1739364860879.0134
7,4225305088,0,0.023,0.0462,0.1321,0.0185,-0.0632,-0.0067,1739364860889.015
8,98175488,0,0.0,0.0462,0.2643,0.0092,-0.0632,-0.0067,1739364860899.0166
9,265947648,0,0.0,0.0462,0.2643,0.0092,-0.0632,0.0,1739364860909.018
10,433719808,0,-0.023,0.0693,0.1321,0.0,-0.0722,0.0,1739364860919.0195
11,601491968,0,0.0,0.0462,0.1321,0.0,-0.0722,-0.0067,1739364860929.021
12,769264128,0,0.0,0.0462,0.1321,0.0,-0.0722,-0.0067,1739364860939.0225
13,937036288,0,0.0,0.0231,0.1321,0.0,-0.0812,0.0,1739364860949.024
14,1104808448,0,0.0,0.0462,0.1321,0.0,-0.0632,-0.0067,1739364860959.0254
15,1272580608,0,-0.023,0.0462,0.1321,0.0,-0.0722,-0.0067,1739364860969.027
16,1440352768,0,0.0691,0.0,0.1321,0.0,-0.0722,-0.0134,1739364860979.0286
17,1608124928,0,0.023,0.0462,0.1321,0.0,-0.0722,0.0,1739364860989.03
18,1775897088,0,0.0,0.0462,0.2643,0.0092,-0.0632,0.0,1739364860999.0315
19,1943669248,0,0.0,0.0693,0.2643,0.0092,-0.0632,-0.0067,1739364861009.033
20,2111441408,0,0.0,0.0462,0.2643,0.0092,-0.0722,0.0067,1739364861019.0344
21,2279213568,0,0.023,0.0462,0.2643,0.0092,-0.0722,0.0,1739364861029.036
22,2446985728,0,0.023,0.0462,0.2643,0.0092,-0.0722,0.0,1739364861039.0376
23,2614757888,0,-0.046,0.0693,0.2643,0.0092,-0.0632,0.0067,1739364861049.039
24,2782530048,0,0.0,0.0693,0.2643,0.0,-0.0632,0.0,1739364861059.0405
25,2950302208,0,0.0,0.0693,0.2643,0.0092,-0.0632,0.0,1739364861069.042
