0,1,2,3,4,5,6,7,8,time
30855,622274048,0,-0.023,0.0462,-0.3965,-0.0185,-0.1083,0.0201,1739366646284.0
30856,790046208,0,0.0,0.0462,-0.2643,-0.0185,-0.0993,0.0134,1739366646294.0015
1,957818368,0,0.0,0.0462,-0.3965,-0.0185,-0.0903,0.0067,1739366646304.003
2,1125590528,0,0.0,0.0462,-0.3965,-0.0185,-0.1083,0.0134,1739366646314.0044
3,1293362688,0,0.0,0.0462,-0.3965,-0.0185,-0.1083,0.0134,1739366646324.006
4,1461134848,0,0.0,0.0462,-0.2643,-0.0185,-0.0993,0.0134,1739366646334.0076
5,1628907008,0,0.0,0.0462,-0.3965,-0.0278,-0.0993,0.0201,1739366646344.009
6,1796679168,0,0.0,0.0462,-0.3965,-0.0185,-0.0993,0.0067,1739366646354.0105
7,1964451328,0,0.0,0.0462,-0.3965,-0.0185,-0.0993,0.0134,1739366646364.012
8,2132223488,0,0.023,0.0231,-0.2643,-0.0185,-0.0993,0.0067,1739366646374.0134
9,2299995648,0,0.0,0.0462,-0.2643,-0.0185,-0.0993,0.0067,1739366646384.015
10,2467767808,0,-0.023,0.0462,-0.2643,-0.0185,-0.0993,0.0134,1739366646394.0166
11,2635539968,0,0.023,0.0231,-0.3965,-0.0185,-0.1083,0.0201,1739366646404.018
12,2803312128,0,-0.023,0.0231,-0.2643,-0.0185,-0.0993,0.0134,1739366646414.0195
13,2971084288,0,-0.023,0.0462,-0.2643,-0.0185,-0.0993,0.0134,1739366646424.021
14,3138856448,0,0.0,0.0231,-0.2643,-0.0185,-0.0993,0.0134,1739366646434.0225
15,3306628608,0,0.023,0.0231,-0.2643,-0.0185,-0.0993,0.0067,1739366646444.024
16,3474400768,0,0.0,0.0231,-0.2643,-0.0278,-0.0993,0.0134,1739366646454.0254
17,3642172928,0,0.046,0.0,-0.2643,-0.0185,-0.0993,0.0134,1739366646464.027
18,3809945088,0,0.023,0.0231,-0.2643,-0.0185,-0.0993,0.0134,1739366646474.0286
19,3977717248,0,0.0,0.0231,-0.2643,-0.0185,-0.0993,0.0201,1739366646484.03
20,4145489408,0,0.0,0.0462,-0.2643,-0.0185,-0.0993,0.0067,1739366646494.0315
21,18359808,0,0.0,0.0231,-0.2643,-0.0185,-0.0993,0.0134,1739366646504.033
22,186131968,0,0.023,0.0462,-0.2643,-0.0185,-0.0993,0.0134,1739366646514.0344
23,353904128,0,0.0,0.0231,-0.3965,-0.0278,-0.0993,0.0,1739366646524.036
24,521676288,0,0.023,0.0231,-0.2643,-0.0185,-0.0993,0.0067,1739366646534.0376
25,689448448,0,0.0,0.0462,-0.3965,-0.0185,-0.1083,0.0134,1739366646544.039
26,857220608,0,0.0,0.0462,-0.3965,-0.0185,-0.0903,0.0134,1739366646554.0405
27,1024992768,0,-0.023,0.0462,-0.3965,-0.0371,-0.0812,0.0067,1739366646564.042
28,1192764928,0,0.0,0.0231,-0.2643,-0.0185,-0.0993,0.0134,1739366646574.0435
29,1360537088,0,0.0,0.0462,-0.3965,-0.0185,-0.1083,0.0134,1739366646584.045
30,1528309248,0,0.023,0.0462,-0.2643,-0.0185,-0.0993,0.0134,1739366646594.0464
31,1696081408,0,0.0,0.0231,-0.2643,-0.0185,-0.0993,0.0134,1739366646604.048
32,1863853568,0,-0.023,0.0462,-0.2643,-0.0185,-0.0993,0.0134,1739366646614.0496
33,2031625728,0,0.0,0.0462,-0.2643,-0.0185,-0.0993,0.0134,1739366646624.051
34,2199397888,0,0.0,0.0462,-0.2643,-0.0185,-0.0993,0.0067,1739366646634.0525
35,2367170048,0,-0.023,0.0462,-0.3965,-0.0185,-0.1083,0.0201,1739366646644.054
36,2534942208,0,-0.023,0.0231,-0.3965,-0.0371,-0.0812,0.0067,1739366646654.0554
37,2702714368,0,0.0,0.0462,-0.3965,-0.0371,-0.0812,0.0,1739366646664.0571
38,2870486528,0,0.0,0.0462,-0.3965,-0.0185,-0.1083,0.0134,1739366646674.0586
39,3038258688,0,0.0,0.0462,-0.3965,-0.0278,-0.0993,0.0134,1739366646684.06
40,3206030848,0,0.0,0.0462,-0.2643,-0.0185,-0.0993,0.0067,1739366646694.0615
41,3373803008,0,0.0,0.0231,-0.2643,-0.0185,-0.0993,0.0134,1739366646704.063
42,3541575168,0,-0.023,0.0462,-0.3965,-0.0278,-0.0993,0.0134,1739366646714.0645
