0,1,2,3,4,5,6,7,8,time
30386,599403008,0,0.0,0.0462,-0.1321,-0.0278,-0.0812,0.0067,1739366950229.0
30387,767175168,0,0.023,0.0693,-0.1321,-0.0371,-0.0812,-0.0067,1739366950239.0015
30388,934947328,0,0.0,0.0693,-0.1321,-0.0464,-0.0903,0.0067,1739366950249.003
30389,1102719488,0,0.0,0.0693,-0.1321,-0.0278,-0.0812,0.0067,1739366950259.0044
30390,1270491648,0,0.0,0.0462,-0.1321,-0.0371,-0.0812,0.0,1739366950269.006
1,1438263808,0,0.0,0.0693,-0.1321,-0.0371,-0.0903,0.0067,1739366950279.0076
2,1606035968,0,0.0,0.0693,-0.1321,-0.0371,-0.0903,0.0,1739366950289.009
3,1773808128,0,0.0,0.0462,-0.1321,-0.0371,-0.0903,0.0,1739366950299.0105
4,1941580288,0,-0.023,0.0693,0.0,-0.0464,-0.0903,0.0067,1739366950309.012
5,2109352448,0,-0.023,0.0693,0.0,-0.0464,-0.0903,0.0,1739366950319.0134
6,2277124608,0,-0.023,0.0693,-0.1321,-0.0371,-0.0903,0.0,1739366950329.015
7,2444896768,0,-0.046,0.0462,-0.1321,-0.0371,-0.0903,0.0,1739366950339.0166
8,2612668928,0,-0.023,0.0462,-0.1321,-0.0371,-0.0903,-0.0067,1739366950349.018
9,2780441088,0,-0.023,0.0693,-0.1321,-0.0371,-0.0903,-0.0067,1739366950359.0195
10,2948213248,0,-0.023,0.0462,-0.1321,-0.0371,-0.0903,0.0,1739366950369.021
11,3115985408,0,-0.023,0.0693,-0.1321,-0.0371,-0.0903,0.0,1739366950379.0225
12,3283757568,0,-0.023,0.0693,-0.1321,-0.0371,-0.0903,0.0,1739366950389.024
13,3451529728,0,-0.023,0.0693,-0.1321,-0.0371,-0.0812,0.0067,1739366950399.0254
14,3619301888,0,-0.023,0.0693,0.0,-0.0464,-0.0903,0.0,1739366950409.027
15,3787074048,0,-0.046,0.0693,-0.1321,-0.0371,-0.0903,0.0,1739366950419.0286
16,3954846208,0,-0.023,0.0693,-0.1321,-0.0371,-0.0812,0.0067,1739366950429.03
17,4122618368,0,-0.0691,0.0231,-0.2643,-0.0278,-0.0812,0.0067,1739366950439.0315
18,4290390528,0,-0.046,0.0693,-0.2643,-0.0278,-0.0812,0.0,1739366950449.033
19,163260928,0,-0.023,0.0462,-0.1321,-0.0371,-0.0812,0.0067,1739366950459.0344
20,331033088,0,-0.023,0.0462,-0.1321,-0.0371,-0.0903,0.0,1739366950469.036
21,498805248,0,-0.023,0.0693,-0.1321,-0.0371,-0.0903,0.0067,1739366950479.0376
22,666577408,0,-0.023,0.0693,0.0,-0.0464,-0.0903,0.0,1739366950489.039
23,834349568,0,-0.023,0.0462,0.0,-0.0464,-0.0903,0.0,1739366950499.0405
24,1002121728,0,-0.023,0.0924,-0.1321,-0.0371,-0.0903,0.0067,1739366950509.042
25,1169893888,0,-0.023,0.0462,-0.1321,-0.0371,-0.0903,0.0067,1739366950519.0435
26,1337666048,0,-0.023,0.0462,-0.1321,-0.0371,-0.0903,0.0067,1739366950529.045
27,1505438208,0,-0.0921,0.0231,-0.1321,-0.0371,-0.0903,0.0134,1739366950539.0464
28,1673210368,0,-0.023,0.0462,-0.1321,-0.0278,-0.0993,0.0134,1739366950549.048
29,1840982528,0,-0.023,0.0462,-0.1321,-0.0278,-0.0993,0.0134,1739366950559.0496
30,2008754688,0,-0.023,0.0462,-0.2643,-0.0185,-0.0903,0.0134,1739366950569.051
31,2176526848,0,-0.023,0.0462,-0.1321,-0.0371,-0.0812,0.0067,1739366950579.0525
32,2344299008,0,-0.023,0.0462,-0.1321,-0.0371,-0.0903,0.0,1739366950589.054
33,2512071168,0,-0.023,0.0693,-0.1321,-0.0371,-0.0903,0.0067,1739366950599.0554
34,2679843328,0,-0.023,0.0693,-0.1321,-0.0371,-0.0812,-0.0067,1739366950609.0571
35,2847615488,0,-0.023,0.0462,0.0,-0.0464,-0.0903,0.0067,1739366950619.0586
36,3015387648,0,-0.023,0.0462,0.0,-0.0464,-0.0903,0.0067,1739366950629.06
37,3183159808,0,-0.023,0.0462,-0.1321,-0.0371,-0.0903,0.0067,1739366950639.0615
38,3350931968,0,0.0,0.0462,-0.1321,-0.0278,-0.0993,0.0134,1739366950649.063
39,3518704128,0,0.0,0.0462,-0.1321,-0.0278,-0.0812,0.0067,1739366950659.0645
40,3686476288,0,-0.023,0.0462,-0.1321,-0.0371,-0.0903,0.0067,1739366950669.066
41,3854248448,0,0.0,0.0462,-0.1321,-0.0371,-0.0903,0.0067,1739366950679.0676
42,4022020608,0,0.0,0.0462,-0.1321,-0.0371,-0.0903,0.0067,1739366950689.069
43,4189792768,0,-0.023,0.0462,-0.1321,-0.0371,-0.0903,0.0067,1739366950699.0706
44,62663168,0,0.0,0.0462,0.0,-0.0464,-0.0903,0.0,1739366950709.072
45,230435328,0,-0.023,0.0462,-0.1321,-0.0371,-0.0903,0.0,1739366950719.0735
46,398207488,0,-0.023,0.0693,-0.1321,-0.0371,-0.0903,0.0,1739366950729.075
47,565979648,0,0.0,0.0693,-0.1321,-0.0371,-0.0903,0.0067,1739366950739.0764
48,733751808,0,0.0,0.0462,-0.1321,-0.0371,-0.0903,-0.0067,1739366950749.0781
49,901523968,0,0.0,0.0462,-0.1321,-0.0371,-0.0903,0.0,1739366950759.0796
50,1069296128,0,0.0,0.0462,-0.1321,-0.0371,-0.0903,0.0,1739366950769.081
51,1237068288,0,0.0,0.0693,-0.1321,-0.0371,-0.0903,-0.0067,1739366950779.0825
52,1404840448,0,-0.023,0.0462,0.0,-0.0371,-0.0993,0.0067,1739366950789.084
53,1572612608,0,0.0,0.0462,-0.1321,-0.0371,-0.0903,0.0067,1739366950799.0854
54,1740384768,0,0.0,0.0693,-0.1321,-0.0371,-0.0903,0.0,1739366950809.087
55,1908156928,0,-0.023,0.0693,-0.1321,-0.0371,-0.0903,0.0067,1739366950819.0886
56,2075929088,0,0.0,0.0693,-0.1321,-0.0371,-0.0903,0.0,1739366950829.09
57,2243701248,0,-0.046,0.0924,0.0,-0.0464,-0.0903,0.0067,1739366950839.0916
58,2411473408,0,-0.046,0.0462,-0.1321,-0.0185,-0.0812,0.0067,1739366950849.093
