0,1,2,3,4,5,6,7,8,time
24494,561458688,0,0.0,-0.0231,0.1321,0.0092,0.009,0.0,1739367195226.0
24495,729230848,0,0.0,0.0,0.1321,0.0092,0.009,0.0,1739367195236.0015
1,897003008,0,-0.023,0.0,0.1321,0.0092,0.009,0.0,1739367195246.003
2,1064775168,0,0.0,0.0,0.1321,0.0185,0.0,0.0067,1739367195256.0044
3,1232547328,0,0.0,0.0,0.1321,0.0092,0.009,-0.0067,1739367195266.006
4,1400319488,0,-0.023,0.0,0.1321,0.0092,0.009,0.0067,1739367195276.0076
5,1568091648,0,0.0,0.0,0.0,0.0092,0.0,0.0067,1739367195286.009
6,1735863808,0,-0.023,0.0,0.0,0.0185,0.009,0.0067,1739367195296.0105
7,1903635968,0,0.0,-0.0231,0.1321,0.0092,0.009,0.0,1739367195306.012
8,2071408128,0,0.0,-0.0231,0.1321,0.0092,0.009,0.0,1739367195316.0134
9,2239180288,0,-0.023,0.0,0.0,0.0,0.0,0.0067,1739367195326.015
10,2406952448,0,0.0,-0.0231,0.1321,0.0,0.009,0.0067,1739367195336.0166
11,2574724608,0,0.0,0.0,0.1321,0.0092,0.009,0.0,1739367195346.018
12,2742496768,0,0.0,0.0,0.1321,0.0092,0.009,0.0067,1739367195356.0195
13,2910268928,0,0.023,-0.0462,0.1321,0.0,0.009,0.0067,1739367195366.021
14,3078041088,0,0.0,-0.0231,0.1321,0.0092,0.009,0.0,1739367195376.0225
15,3245813248,0,-0.023,-0.0231,0.1321,0.0092,0.009,0.0,1739367195386.024
16,3413585408,0,-0.023,-0.0231,0.0,0.0092,0.018,0.0,1739367195396.0254
17,3581357568,0,0.023,-0.0231,0.0,0.0092,0.018,-0.0067,1739367195406.027
18,3749129728,0,0.0,0.0,0.1321,0.0092,0.009,0.0067,1739367195416.0286
19,3916901888,0,0.0,-0.0231,0.1321,0.0092,0.009,0.0,1739367195426.03
20,4084674048,0,0.023,-0.0231,0.1321,0.0092,0.009,0.0,1739367195436.0315
21,4252446208,0,0.023,0.0,0.1321,0.0092,0.009,0.0,1739367195446.033
22,125316608,0,0.0,-0.0231,0.1321,0.0185,0.0,-0.0067,1739367195456.0344
23,293088768,0,0.023,0.0,0.1321,0.0092,-0.009,-0.0067,1739367195466.036
24,460860928,0,0.023,-0.0231,0.0,0.0,0.0,0.0,1739367195476.0376
25,628633088,0,0.0,0.0,0.1321,0.0092,0.009,0.0,1739367195486.039
26,796405248,0,-0.023,0.0,0.0,0.0,0.0,0.0067,1739367195496.0405
27,964177408,0,0.023,-0.0231,0.1321,0.0,0.009,0.0,1739367195506.042
28,1131949568,0,0.0,-0.0231,0.1321,0.0185,0.0,0.0,1739367195516.0435
29,1299721728,0,0.0,0.0,0.1321,0.0,0.009,0.0067,1739367195526.045
30,1467493888,0,0.0,0.0,0.1321,0.0185,0.0,-0.0067,1739367195536.0464
31,1635266048,0,0.0,-0.0231,0.1321,0.0185,0.0,-0.0067,1739367195546.048
32,1803038208,0,0.0,0.0,0.1321,0.0185,0.0,0.0,1739367195556.0496
33,1970810368,0,0.0,0.0,0.2643,0.0092,0.009,-0.0067,1739367195566.051
34,2138582528,0,0.0,0.0,0.1321,0.0092,0.0,0.0067,1739367195576.0525
35,2306354688,0,0.023,0.0,0.1321,0.0185,0.0,0.0067,1739367195586.054
36,2474126848,0,-0.023,0.0,0.1321,0.0092,0.009,0.0067,1739367195596.0554
