0,1,2,3,4,5,6,7,8,time
71615,831534592,0,0.023,0.0,0.2643,0.0,0.009,-0.0134,1739336894881.0
71616,999306752,0,0.023,0.0,0.2643,-0.0092,0.009,-0.0134,1739336894891.0015
71617,1167078912,0,0.023,-0.0231,0.2643,-0.0092,-0.009,-0.0067,1739336894901.003
71618,1334851072,0,0.023,0.0,0.2643,-0.0092,0.0,-0.0067,1739336894911.0044
1,1502623232,0,0.046,-0.0231,0.3965,-0.0092,0.0,0.0,1739336894921.006
2,1670395392,0,0.023,0.0,0.3965,-0.0092,0.009,-0.0134,1739336894931.0076
3,1838167552,0,0.046,0.0,0.3965,-0.0092,0.0,0.0,1739336894941.009
4,2005939712,0,0.046,0.0231,0.2643,0.0,0.0,-0.0067,1739336894951.0105
5,2173711872,0,0.023,0.0231,0.2643,0.0,0.009,-0.0067,1739336894961.012
6,2341484032,0,0.023,-0.0231,0.2643,0.0,0.0,-0.0067,1739336894971.0134
7,2509256192,0,0.023,0.0,0.3965,0.0,0.0,-0.0067,1739336894981.015
8,2677028352,0,0.023,0.0,0.3965,-0.0092,0.009,-0.0134,1739336894991.0166
9,2844800512,0,0.023,0.0,0.3965,0.0092,0.0,-0.0067,1739336895001.018
10,3012572672,0,0.023,0.0,0.3965,0.0,0.0,-0.0067,1739336895011.0195
11,3180344832,0,0.023,0.0231,0.2643,0.0,0.009,-0.0067,1739336895021.021
12,3348116992,0,0.0,0.0,0.3965,-0.0092,0.0,0.0067,1739336895031.0225
13,3515889152,0,0.023,0.0231,0.2643,0.0,0.009,-0.0134,1739336895041.024
14,3683661312,0,0.023,0.0,0.3965,0.0,0.009,-0.0134,1739336895051.0254
15,3851433472,0,0.023,0.0231,0.3965,0.0,0.009,-0.0134,1739336895061.027
16,4019205632,0,0.046,-0.0231,0.3965,0.0,0.0,-0.0067,1739336895071.0286
17,4186977792,0,0.046,0.0,0.2643,0.0,0.0,-0.0067,1739336895081.03
18,59848192,0,0.023,0.0,0.2643,-0.0092,0.0,-0.0134,1739336895091.0315
19,227620352,0,0.023,0.0,0.2643,0.0,0.0,-0.0067,1739336895101.033
20,395392512,0,0.023,0.0,0.2643,0.0,0.009,-0.0134,1739336895111.0344
21,563164672,0,0.046,-0.0231,0.2643,0.0,0.0,-0.0134,1739336895121.036
22,730936832,0,0.046,0.0,0.2643,0.0,0.009,-0.0201,1739336895131.0376
23,898708992,0,0.023,0.0,0.2643,0.0,0.009,-0.0067,1739336895141.039
24,1066481152,0,0.023,0.0,0.2643,0.0,0.0,-0.0067,1739336895151.0405
25,1234253312,0,0.046,0.0,0.2643,0.0,0.009,-0.0134,1739336895161.042
26,1402025472,0,0.0,0.0,0.2643,0.0,0.009,-0.0067,1739336895171.0435
27,1569797632,0,0.046,0.0,0.2643,0.0,0.0,-0.0067,1739336895181.045
28,1737569792,0,0.046,0.0,0.3965,0.0,0.0,-0.0067,1739336895191.0464
29,1905341952,0,0.046,0.0,0.3965,-0.0092,0.0,-0.0067,1739336895201.048
30,2073114112,0,0.023,0.0,0.3965,-0.0092,0.009,-0.0067,1739336895211.0496
31,2240886272,0,0.023,0.0,0.2643,-0.0092,-0.009,0.0,1739336895221.051
32,2408658432,0,0.023,0.0,0.2643,-0.0092,-0.009,0.0,1739336895231.0525
33,2576430592,0,0.023,0.0231,0.2643,0.0,0.009,-0.0134,1739336895241.054
34,2744202752,0,0.023,0.0,0.2643,0.0,0.0,-0.0067,1739336895251.0554
35,2911974912,0,0.023,0.0,0.2643,-0.0092,0.0,-0.0067,1739336895261.0571
36,3079747072,0,0.046,0.0,0.2643,-0.0092,0.0,-0.0067,1739336895271.0586
37,3247519232,0,0.023,0.0,0.2643,-0.0092,0.0,-0.0134,1739336895281.06
38,3415291392,0,0.0,0.0,0.2643,0.0,0.009,-0.0134,1739336895291.0615
39,3583063552,0,0.023,0.0,0.3965,-0.0092,0.009,-0.0067,1739336895301.063
40,3750835712,0,0.023,0.0,0.2643,0.0,0.009,-0.0134,1739336895311.0645
41,3918607872,0,0.023,0.0,0.2643,0.0,0.0,-0.0067,1739336895321.066
42,4086380032,0,0.046,-0.0231,0.2643,-0.0092,0.0,-0.0134,1739336895331.0676
43,4254152192,0,0.046,0.0,0.2643,0.0,0.009,-0.0134,1739336895341.069
44,127022592,0,0.046,-0.0231,0.2643,-0.0092,-0.009,-0.0067,1739336895351.0706
45,294794752,0,0.023,0.0,0.2643,0.0,0.009,-0.0134,1739336895361.072
46,462566912,0,0.023,0.0,0.2643,-0.0092,0.0,-0.0134,1739336895371.0735
47,630339072,0,0.023,0.0,0.2643,-0.0092,0.0,-0.0067,1739336895381.075
48,798111232,0,0.046,-0.0231,0.2643,-0.0092,0.0,-0.0201,1739336895391.0764
49,965883392,0,0.046,0.0,0.2643,-0.0092,0.0,-0.0134,1739336895401.0781
50,1133655552,0,0.046,-0.0231,0.2643,-0.0092,0.0,-0.0134,1739336895411.0796
51,1301427712,0,0.046,-0.0462,0.2643,-0.0092,-0.009,-0.0134,1739336895421.081
52,1469199872,0,0.023,0.0,0.2643,-0.0092,0.009,-0.0134,1739336895431.0825
53,1636972032,0,0.023,0.0,0.2643,0.0,0.0,0.0,1739336895441.084
54,1804744192,0,0.0,0.0,0.2643,-0.0092,0.0,-0.0067,1739336895451.0854
55,1972516352,0,0.0,0.0,0.2643,-0.0092,-0.009,0.0067,1739336895461.087
56,2140288512,0,0.046,0.0,0.2643,-0.0092,0.0,0.0,1739336895471.0886
57,2308060672,0,0.046,0.0,0.3965,-0.0092,0.0,-0.0067,1739336895481.09
58,2475832832,0,0.046,0.0,0.3965,-0.0092,0.0,-0.0067,1739336895491.0916
59,2643604992,0,0.023,0.0,0.3965,-0.0092,0.009,-0.0067,1739336895501.093
60,2811377152,0,0.023,0.0,0.2643,0.0,0.009,-0.0134,1739336895511.0945
61,2979149312,0,0.046,-0.0231,0.2643,0.0,0.0,0.0,1739336895521.096
62,3146921472,0,0.023,0.0,0.2643,-0.0092,0.0,-0.0134,1739336895531.0974
63,3314693632,0,0.023,0.0,0.2643,0.0,0.018,-0.0134,1739336895541.099
64,3482465792,0,0.023,0.0,0.3965,-0.0092,0.009,-0.0201,1739336895551.1006
65,3650237952,0,0.046,0.0,0.2643,0.0,0.009,-0.0134,1739336895561.102
66,3818010112,0,0.023,0.0,0.2643,-0.0092,0.009,-0.0067,1739336895571.1035
67,3985782272,0,0.046,-0.0231,0.2643,0.0,0.009,-0.0067,1739336895581.105
68,4153554432,0,0.046,0.0231,0.2643,-0.0092,0.009,-0.0134,1739336895591.1064
69,26424832,0,0.046,0.0,0.2643,0.0,0.009,-0.0134,1739336895601.108
70,194196992,0,0.023,0.0,0.2643,0.0,0.018,-0.0134,1739336895611.1096
71,361969152,0,0.023,0.0,0.2643,0.0,0.009,-0.0134,1739336895621.111
72,529741312,0,0.023,0.0,0.3965,-0.0092,0.009,-0.0067,1739336895631.1125
73,697513472,0,0.046,-0.0231,0.2643,-0.0092,0.0,-0.0067,1739336895641.114
74,865285632,0,0.046,0.0,0.2643,-0.0092,0.009,-0.0134,1739336895651.1155
