0,1,2,3,4,5,6,7,8,time
16908,3808498944,0,-0.046,0.0231,0.1321,-0.0371,-0.027,-0.0134,1739771606286.0
16909,3976271104,0,-0.0691,0.0462,0.0,-0.0371,-0.027,-0.0134,1739771606296.001
16910,4144043264,0,-0.046,0.0462,-0.1321,-0.0278,-0.027,-0.0134,1739771606306.002
16911,16913664,0,-0.0691,0.0231,-0.1321,-0.0371,-0.018,-0.0134,1739771606316.003
1,184685824,0,-0.023,0.0462,-0.1321,-0.0371,-0.0361,-0.0134,1739771606326.004
2,352457984,0,-0.046,0.0231,0.1321,-0.0371,-0.027,-0.0134,1739771606336.005
3,520230144,0,-0.046,0.0231,0.1321,-0.0371,-0.027,-0.0134,1739771606346.006
4,688002304,0,-0.046,0.0231,0.1321,-0.0371,-0.027,-0.0134,1739771606356.007
5,855774464,0,-0.0691,0.0231,0.0,-0.0371,-0.027,-0.0067,1739771606366.008
6,1023546624,0,-0.046,0.0231,0.1321,-0.0371,-0.027,-0.0067,1739771606376.009
7,1191318784,0,-0.046,0.0,0.0,-0.0278,-0.0361,-0.0134,1739771606386.01
8,1359090944,0,-0.046,0.0231,0.1321,-0.0371,-0.027,-0.0134,1739771606396.011
9,1526863104,0,-0.0691,0.0462,0.0,-0.0371,-0.027,-0.0067,1739771606406.012
10,1694635264,0,-0.0691,0.0231,0.0,-0.0371,-0.027,-0.0134,1739771606416.013
11,1862407424,0,-0.023,0.0231,0.1321,-0.0464,-0.027,-0.0067,1739771606426.014
12,2030179584,0,-0.046,0.0231,0.1321,-0.0464,-0.027,-0.0134,1739771606436.015
13,2197951744,0,-0.046,0.0231,0.1321,-0.0371,-0.027,-0.0067,1739771606446.016
14,2365723904,0,-0.0691,0.0462,0.0,-0.0371,-0.027,-0.0134,1739771606456.017
15,2533496064,0,-0.0921,0.0231,-0.1321,-0.0371,-0.0361,-0.0067,1739771606466.018
16,2701268224,0,-0.046,0.0231,0.0,-0.0278,-0.0361,-0.0067,1739771606476.019
17,2869040384,0,-0.0691,0.0231,-0.1321,-0.0464,-0.018,-0.0134,1739771606486.02
18,3036812544,0,-0.0691,0.0231,-0.1321,-0.0464,-0.018,-0.0134,1739771606496.021
19,3204584704,0,-0.0691,0.0231,0.0,-0.0371,-0.027,-0.0067,1739771606506.022
20,3372356864,0,-0.0691,0.0462,0.0,-0.0371,-0.027,-0.0067,1739771606516.023
21,3540129024,0,-0.046,0.0231,0.0,-0.0464,-0.027,-0.0134,1739771606526.024
22,3707901184,0,-0.0691,0.0231,-0.1321,-0.0464,-0.027,-0.0067,1739771606536.025
23,3875673344,0,-0.046,0.0231,0.0,-0.0464,-0.018,-0.0067,1739771606546.0261
24,4043445504,0,-0.046,0.0231,0.1321,-0.0371,-0.027,-0.0201,1739771606556.027
25,4211217664,0,-0.046,0.0231,0.0,-0.0371,-0.0361,-0.0134,1739771606566.028
26,84088064,0,-0.046,0.0462,0.0,-0.0371,-0.027,-0.0134,1739771606576.029
27,251860224,0,-0.0921,0.0462,0.0,-0.0371,-0.027,-0.0134,1739771606586.03
28,419632384,0,-0.046,0.0231,0.1321,-0.0464,-0.0361,-0.0134,1739771606596.031
29,587404544,0,-0.046,0.0231,0.0,-0.0464,-0.027,-0.0134,1739771606606.032
