0,1,2,3,4,5,6,7,8,time
6156,4214367488,0,0.5758,-0.0693,-1.5862,-2.4066,2.7993,0.6985,1739772733132.0
6157,87237888,0,0.5988,-0.1618,-1.7184,-2.2765,2.8354,0.6985,1739772733142.001
6158,255010048,0,0.3915,-0.2542,-1.9828,-2.1743,2.6368,0.6784,1739772733152.002
1,422782208,0,0.046,-0.2311,-1.9828,-2.1557,2.3388,0.6448,1739772733162.003
2,590554368,0,-0.2994,-0.2311,-2.2471,-2.1371,1.9956,0.6179,1739772733172.004
3,758326528,0,-0.5758,-0.208,-2.5115,-2.1185,1.7518,0.5776,1739772733182.005
4,926098688,0,-0.8061,-0.208,-2.6437,-2.0535,1.526,0.5239,1739772733192.006
5,1093870848,0,-1.0365,-0.2311,-2.7759,-1.9606,1.3274,0.4701,1739772733202.007
6,1261643008,0,-1.2207,-0.2542,-2.6437,-1.8769,1.1648,0.4231,1739772733212.008
7,1429415168,0,-1.3589,-0.2773,-2.7759,-1.7933,1.0565,0.3761,1739772733222.009
8,1597187328,0,-1.4741,-0.2311,-2.9081,-1.7561,1.0113,0.3358,1739772733232.01
9,1764959488,0,-1.5202,-0.2542,-2.6437,-1.6911,0.9752,0.3089,1739772733242.011
10,1932731648,0,-1.5662,-0.2311,-2.7759,-1.6539,0.9752,0.2955,1739772733252.012
11,2100503808,0,-1.6123,-0.2311,-2.9081,-1.5982,0.9752,0.2821,1739772733262.013
12,2268275968,0,-1.6353,-0.2542,-2.7759,-1.5424,0.9662,0.2888,1739772733272.014
13,2436048128,0,-1.6353,-0.3236,-2.7759,-1.4681,0.9933,0.3022,1739772733282.015
14,2603820288,0,-1.5432,-0.3698,-2.7759,-1.4681,1.0836,0.3492,1739772733292.016
15,2771592448,0,-1.405,-0.3005,-2.7759,-1.5424,1.1919,0.3963,1739772733302.017
16,2939364608,0,-1.3589,-0.2773,-2.9081,-1.6632,1.2461,0.4298,1739772733312.018
17,3107136768,0,-1.405,-0.1849,-2.9081,-1.8305,1.219,0.4769,1739772733322.019
18,3274908928,0,-1.4971,-0.0924,-2.9081,-1.9884,1.1107,0.5172,1739772733332.02
19,3442681088,0,-1.5662,-0.0231,-2.7759,-2.1185,1.0023,0.5507,1739772733342.021
20,3610453248,0,-1.5893,-0.0231,-2.7759,-2.1929,0.912,0.5978,1739772733352.022
21,3778225408,0,-1.5893,0.0,-2.7759,-2.2765,0.8307,0.6515,1739772733362.023
22,3945997568,0,-1.5893,0.0231,-2.7759,-2.3973,0.7224,0.7052,1739772733372.024
23,4113769728,0,-1.6584,0.0924,-2.7759,-2.5645,0.5959,0.7388,1739772733382.025
24,4281541888,0,-1.7735,0.1849,-2.7759,-2.7504,0.4515,0.7858,1739772733392.0261
25,154412288,0,-1.8426,0.2542,-2.7759,-2.8619,0.307,0.8261,1739772733402.027
26,322184448,0,-1.8887,0.3005,-2.7759,-2.9362,0.2076,0.8597,1739772733412.028
27,489956608,0,-1.9348,0.3236,-2.7759,-2.9734,0.1173,0.8933,1739772733422.029
28,657728768,0,-2.0039,0.3467,-2.7759,-2.9827,0.0632,0.9,1739772733432.03
29,825500928,0,-2.0039,0.3467,-2.7759,-2.9734,0.0541,0.9,1739772733442.031
30,993273088,0,-1.9808,0.3698,-2.7759,-2.9734,0.1173,0.8866,1739772733452.032
31,1161045248,0,-1.9117,0.3236,-2.7759,-2.9083,0.2167,0.8866,1739772733462.033
32,1328817408,0,-1.7966,0.2542,-2.7759,-2.8433,0.3792,0.9,1739772733472.034
33,1496589568,0,-1.5432,0.208,-2.9081,-2.769,0.6321,0.9336,1739772733482.035
34,1664361728,0,-1.2438,0.208,-2.7759,-2.7225,0.9301,0.9672,1739772733492.036
35,1832133888,0,-0.9904,0.2311,-2.6437,-2.7225,1.1919,1.0075,1739772733502.037
36,1999906048,0,-0.8983,0.208,-2.7759,-2.7039,1.3093,1.0276,1739772733512.038
37,2167678208,0,-0.8983,0.208,-2.9081,-2.7039,1.3184,1.0344,1739772733522.039
38,2335450368,0,-1.0134,0.2311,-3.0403,-2.6667,1.2642,1.0276,1739772733532.04
39,2503222528,0,-1.1286,0.208,-3.1725,-2.6482,1.1829,1.0344,1739772733542.041
40,2670994688,0,-1.1747,0.2311,-3.1725,-2.6482,1.1016,1.0276,1739772733552.042
